bne,000101[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
lb,100000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
lbu,100100[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
lh,100001[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
lhu,100101[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
lw,100011[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
lwl,100010[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
lwr,100110[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
ll,110000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
sb,101000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
sh,101001[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
sw,101011[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
swl,101010[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
swr,101110[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
sc,111000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]
nop,00000000000000000000000000000000
eret,01000010000000000000000000011000
syscall,00000000000000000000000000001100
mfhi,0000000000000000[01][01][01][01][01]00000010000
mflo,0000000000000000[01][01][01][01][01]00000010010
jr,000000[01][01][01][01][01]000000000000000001000
mthi,000000[01][01][01][01][01]000000000000000010001
mtlo,000000[01][01][01][01][01]000000000000000010011
mfc0,01000000000[01][01][01][01][01][01][01][01][01][01]00000000000
mtc0,01000000100[01][01][01][01][01][01][01][01][01][01]00000000000
movn,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000001011
movz,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000001010
add,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000100000
addu,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000100001
and,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000100100
clo,011100[01][01][01][01][01]00000[01][01][01][01][01]00000100001
clz,011100[01][01][01][01][01]00000[01][01][01][01][01]00000100000
mul,011100[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000000010
nor,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000100111
or,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000100101
sll,00000000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]000000
sllv,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000000100
sra,00000000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]000011
srav,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000000111
srl,00000000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]000010
srlv,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000000110
sub,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000100010
subu,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000100011
[01]or,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000100110
slt,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000101010
sltu,000000[01][01][01][01][01][01][01][01][01][01][01][01][01][01][01]00000101011
jalr,000000[01][01][01][01][01]00000[01][01][01][01][01]00000001001
div,000000[01][01][01][01][01][01][01][01][01][01]0000000000011010
divu,000000[01][01][01][01][01][01][01][01][01][01]0000000000011011
mult,000000[01][01][01][01][01][01][01][01][01][01]0000000000011000
multu,000000[01][01][01][01][01][01][01][01][01][01]0000000000011001
madd,011100[01][01][01][01][01][01][01][01][01][01]0000000000000000
maddu,011100[01][01][01][01][01][01][01][01][01][01]0000000000000001
msub,011100[01][01][01][01][01][01][01][01][01][01]0000000000000100
msubu,011100[01][01][01][01][01][01][01][01][01][01]0000000000000101
teq,000000[01][01][01][01][01][01][01][01][01][01]0000000000110100
teq,000000[01][01][01][01][01][01][01][01][01][01]0000000000110110
tge,000000[01][01][01][01][01][01][01][01][01][01]0000000000110000
tgeu,000000[01][01][01][01][01][01][01][01][01][01]0000000000110001
tlt,000000[01][01][01][01][01][01][01][01][01][01]0000000000110010
tltu,000000[01][01][01][01][01][01][01][01][01][01]0000000000110011
